ITEM NO.|CROSS-REFERENCE NO.|DESCRIPTION|DESCRIPTION 2|ITEM CATEGORY|PRODUCT GROUP|LOCATION|QUANTITY|OE MANUFACTURER|WEIGHT|CUBAGE|HEIGHT|WIDTH|DEPTH|ITEM UPC NO.|COUNTRY OF ORIG|TARIFF NO.|SCHEDULE B CODE
CUM61793||2882091RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61795||2882090RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61810||2882050RX|TURBOCHARGER HX82 WTRCOOL|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61824||2882022RX|TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61826||2882021RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61832||2881995RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|50|0|0|0|0|||8414800500|8414800500
CUM61834||2881994RX|TURBOCHARGER HEPRE07VG HD|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61836||2881993RX|TURBOCHARGER HEPRE07VG HD|Turbochargers|Holset||0|CUMMINS - PARTS|78|6012.34|19.3|17.7|17.6|||8414800500|8414800500
CUM61838||2881992RX|TURBOCHARGER HEPRE07VG HD|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61847||2881956RX|TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61856||2881888RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61858||2881887RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61881||2881816RX|TURBOCHARGER HT80|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
